,Address,Price,Size,Max_occupancy
0,33 East 33rd Street - 6th Floor,48851,"13,027",86
1,33 East 33rd Street - 6th Floor,48851,"13,027",86
2,33 East 33rd Street - 6th Floor,48851,"13,027",86
3,33 East 33rd Street - 6th Floor,48851,"13,027",86
4,33 East 33rd Street - 6th Floor,48851,"13,027",86
5,33 East 33rd Street - 6th Floor,48851,"13,027",86
6,33 East 33rd Street - 6th Floor,48851,"13,027",86
7,33 East 33rd Street - 6th Floor,48851,"13,027",86
8,33 East 33rd Street - 6th Floor,48851,"13,027",86
9,33 East 33rd Street - 6th Floor,48851,"13,027",86
10,33 East 33rd Street - 6th Floor,48851,"13,027",86
11,33 East 33rd Street - 6th Floor,48851,"13,027",86
12,33 East 33rd Street - 6th Floor,48851,"13,027",86
13,33 East 33rd Street - 6th Floor,48851,"13,027",86
14,33 East 33rd Street - 6th Floor,48851,"13,027",86
15,33 East 33rd Street - 6th Floor,48851,"13,027",86
16,33 East 33rd Street - 6th Floor,48851,"13,027",86
17,33 East 33rd Street - 6th Floor,48851,"13,027",86
18,33 East 33rd Street - 6th Floor,48851,"13,027",86
19,33 East 33rd Street - 6th Floor,48851,"13,027",86
20,33 East 33rd Street - 6th Floor,48851,"13,027",86
21,33 East 33rd Street - 6th Floor,48851,"13,027",86
22,33 East 33rd Street - 6th Floor,48851,"13,027",86
23,33 East 33rd Street - 6th Floor,48851,"13,027",86
24,16 West 22nd Street - 8th Floor,45500,"13,000",86
25,16 West 22nd Street - 8th Floor,45500,"13,000",86
26,16 West 22nd Street - 8th Floor,45500,"13,000",86
27,16 West 22nd Street - 8th Floor,45500,"13,000",86
28,16 West 22nd Street - 8th Floor,45500,"13,000",86
29,16 West 22nd Street - 8th Floor,45500,"13,000",86
30,16 West 22nd Street - 8th Floor,45500,"13,000",86
31,16 West 22nd Street - 8th Floor,45500,"13,000",86
32,16 West 22nd Street - 8th Floor,45500,"13,000",86
33,16 West 22nd Street - 8th Floor,45500,"13,000",86
34,16 West 22nd Street - 8th Floor,45500,"13,000",86
35,16 West 22nd Street - 8th Floor,45500,"13,000",86
36,16 West 22nd Street - 8th Floor,45500,"13,000",86
37,16 West 22nd Street - 8th Floor,45500,"13,000",86
38,16 West 22nd Street - 8th Floor,45500,"13,000",86
39,16 West 22nd Street - 8th Floor,45500,"13,000",86
40,16 West 22nd Street - 8th Floor,45500,"13,000",86
41,16 West 22nd Street - 8th Floor,45500,"13,000",86
42,16 West 22nd Street - 8th Floor,45500,"13,000",86
43,16 West 22nd Street - 8th Floor,45500,"13,000",86
44,16 West 22nd Street - 8th Floor,45500,"13,000",86
45,16 West 22nd Street - 8th Floor,45500,"13,000",86
46,16 West 22nd Street - 8th Floor,45500,"13,000",86
47,16 West 22nd Street - 8th Floor,45500,"13,000",86
