,Address,Price,Size,Max_occupancy
0,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
1,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
2,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
3,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
4,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
5,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
6,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
7,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
8,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
9,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
10,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
11,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
12,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
13,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
14,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
15,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
16,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
17,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
18,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
19,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
20,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
21,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
22,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
23,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
24,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
25,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
26,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
27,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
28,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
29,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
30,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
31,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
32,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
33,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
34,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
35,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
36,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
37,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
38,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
39,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
40,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
41,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
42,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
43,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
44,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
45,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
46,16 West 22nd Street - 8th Floor,"$45,500","13,000",86
47,33 East 33rd Street - 6th Floor,"$48,851","13,027",86
