,Address,Price,Size,Max_occupancy
0,16 West 22nd Street - 8th Floor,45500,"13,000",86
1,33 East 33rd Street - 6th Floor,48851,"13,027",86
2,6 East 32nd Street - 5th Floor,To ask,"16,000",92
3,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
4,10 West 14th Street - 6th Floor,To ask,"13,191",106
5,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
6,6 East 32nd Street - 4th Floor,To ask,"16,000",103
7,71 5th Avenue - 11th Floor,To ask,"15,238",101
8,71 5th Avenue - 10th Floor,To ask,"15,177",101
9,275 7th Avenue - 17th Floor,To ask,"15,183",101
10,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
11,841 Broadway - 3rd Floor,To ask,"13,716",91
12,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
13,245 5th Avenue - 5th Floor,To ask,"13,627",90
14,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
15,245 5th Avenue - 2nd Floor,To ask,"14,209",94
16,622 Broadway - 5th Floor,To ask,"17,378",114
17,622 Broadway - 6th Floor,To ask,"17,112",115
18,622 Broadway - 3rd Floor,To ask,"17,384",115
19,622 Broadway - 4th Floor,To ask,"17,479",116
20,287 Park Avenue South - 9th Floor,To ask,"13,056",87
21,287 Park Avenue South - 8th Floor,To ask,"13,056",87
22,33 East 33rd Street - 12th Floor,To ask,"13,000",86
23,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
24,16 West 22nd Street - 8th Floor,45500,"13,000",86
25,33 East 33rd Street - 6th Floor,48851,"13,027",86
26,6 East 32nd Street - 5th Floor,To ask,"16,000",92
27,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
28,10 West 14th Street - 6th Floor,To ask,"13,191",106
29,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
30,6 East 32nd Street - 4th Floor,To ask,"16,000",103
31,71 5th Avenue - 11th Floor,To ask,"15,238",101
32,71 5th Avenue - 10th Floor,To ask,"15,177",101
33,275 7th Avenue - 17th Floor,To ask,"15,183",101
34,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
35,841 Broadway - 3rd Floor,To ask,"13,716",91
36,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
37,245 5th Avenue - 5th Floor,To ask,"13,627",90
38,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
39,245 5th Avenue - 2nd Floor,To ask,"14,209",94
40,622 Broadway - 5th Floor,To ask,"17,378",114
41,622 Broadway - 6th Floor,To ask,"17,112",115
42,622 Broadway - 3rd Floor,To ask,"17,384",115
43,622 Broadway - 4th Floor,To ask,"17,479",116
44,287 Park Avenue South - 9th Floor,To ask,"13,056",87
45,287 Park Avenue South - 8th Floor,To ask,"13,056",87
46,33 East 33rd Street - 12th Floor,To ask,"13,000",86
47,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
48,16 West 22nd Street - 8th Floor,45500,"13,000",86
49,33 East 33rd Street - 6th Floor,48851,"13,027",86
50,6 East 32nd Street - 5th Floor,To ask,"16,000",92
51,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
52,10 West 14th Street - 6th Floor,To ask,"13,191",106
53,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
54,6 East 32nd Street - 4th Floor,To ask,"16,000",103
55,71 5th Avenue - 11th Floor,To ask,"15,238",101
56,71 5th Avenue - 10th Floor,To ask,"15,177",101
57,275 7th Avenue - 17th Floor,To ask,"15,183",101
58,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
59,841 Broadway - 3rd Floor,To ask,"13,716",91
60,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
61,245 5th Avenue - 5th Floor,To ask,"13,627",90
62,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
63,245 5th Avenue - 2nd Floor,To ask,"14,209",94
64,622 Broadway - 5th Floor,To ask,"17,378",114
65,622 Broadway - 6th Floor,To ask,"17,112",115
66,622 Broadway - 3rd Floor,To ask,"17,384",115
67,622 Broadway - 4th Floor,To ask,"17,479",116
68,287 Park Avenue South - 9th Floor,To ask,"13,056",87
69,287 Park Avenue South - 8th Floor,To ask,"13,056",87
70,33 East 33rd Street - 12th Floor,To ask,"13,000",86
71,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
72,16 West 22nd Street - 8th Floor,45500,"13,000",86
73,33 East 33rd Street - 6th Floor,48851,"13,027",86
74,6 East 32nd Street - 5th Floor,To ask,"16,000",92
75,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
76,10 West 14th Street - 6th Floor,To ask,"13,191",106
77,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
78,6 East 32nd Street - 4th Floor,To ask,"16,000",103
79,71 5th Avenue - 11th Floor,To ask,"15,238",101
80,71 5th Avenue - 10th Floor,To ask,"15,177",101
81,275 7th Avenue - 17th Floor,To ask,"15,183",101
82,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
83,841 Broadway - 3rd Floor,To ask,"13,716",91
84,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
85,245 5th Avenue - 5th Floor,To ask,"13,627",90
86,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
87,245 5th Avenue - 2nd Floor,To ask,"14,209",94
88,622 Broadway - 5th Floor,To ask,"17,378",114
89,622 Broadway - 6th Floor,To ask,"17,112",115
90,622 Broadway - 3rd Floor,To ask,"17,384",115
91,622 Broadway - 4th Floor,To ask,"17,479",116
92,287 Park Avenue South - 9th Floor,To ask,"13,056",87
93,287 Park Avenue South - 8th Floor,To ask,"13,056",87
94,33 East 33rd Street - 12th Floor,To ask,"13,000",86
95,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
96,16 West 22nd Street - 8th Floor,45500,"13,000",86
97,33 East 33rd Street - 6th Floor,48851,"13,027",86
98,6 East 32nd Street - 5th Floor,To ask,"16,000",92
99,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
100,10 West 14th Street - 6th Floor,To ask,"13,191",106
101,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
102,6 East 32nd Street - 4th Floor,To ask,"16,000",103
103,71 5th Avenue - 11th Floor,To ask,"15,238",101
104,71 5th Avenue - 10th Floor,To ask,"15,177",101
105,275 7th Avenue - 17th Floor,To ask,"15,183",101
106,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
107,841 Broadway - 3rd Floor,To ask,"13,716",91
108,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
109,245 5th Avenue - 5th Floor,To ask,"13,627",90
110,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
111,245 5th Avenue - 2nd Floor,To ask,"14,209",94
112,622 Broadway - 5th Floor,To ask,"17,378",114
113,622 Broadway - 6th Floor,To ask,"17,112",115
114,622 Broadway - 3rd Floor,To ask,"17,384",115
115,622 Broadway - 4th Floor,To ask,"17,479",116
116,287 Park Avenue South - 9th Floor,To ask,"13,056",87
117,287 Park Avenue South - 8th Floor,To ask,"13,056",87
118,33 East 33rd Street - 12th Floor,To ask,"13,000",86
119,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
120,16 West 22nd Street - 8th Floor,45500,"13,000",86
121,33 East 33rd Street - 6th Floor,48851,"13,027",86
122,6 East 32nd Street - 5th Floor,To ask,"16,000",92
123,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
124,10 West 14th Street - 6th Floor,To ask,"13,191",106
125,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
126,6 East 32nd Street - 4th Floor,To ask,"16,000",103
127,71 5th Avenue - 11th Floor,To ask,"15,238",101
128,71 5th Avenue - 10th Floor,To ask,"15,177",101
129,275 7th Avenue - 17th Floor,To ask,"15,183",101
130,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
131,841 Broadway - 3rd Floor,To ask,"13,716",91
132,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
133,245 5th Avenue - 5th Floor,To ask,"13,627",90
134,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
135,245 5th Avenue - 2nd Floor,To ask,"14,209",94
136,622 Broadway - 5th Floor,To ask,"17,378",114
137,622 Broadway - 6th Floor,To ask,"17,112",115
138,622 Broadway - 3rd Floor,To ask,"17,384",115
139,622 Broadway - 4th Floor,To ask,"17,479",116
140,287 Park Avenue South - 9th Floor,To ask,"13,056",87
141,287 Park Avenue South - 8th Floor,To ask,"13,056",87
142,33 East 33rd Street - 12th Floor,To ask,"13,000",86
143,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
144,16 West 22nd Street - 8th Floor,45500,"13,000",86
145,33 East 33rd Street - 6th Floor,48851,"13,027",86
146,6 East 32nd Street - 5th Floor,To ask,"16,000",92
147,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
148,10 West 14th Street - 6th Floor,To ask,"13,191",106
149,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
150,6 East 32nd Street - 4th Floor,To ask,"16,000",103
151,71 5th Avenue - 11th Floor,To ask,"15,238",101
152,71 5th Avenue - 10th Floor,To ask,"15,177",101
153,275 7th Avenue - 17th Floor,To ask,"15,183",101
154,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
155,841 Broadway - 3rd Floor,To ask,"13,716",91
156,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
157,245 5th Avenue - 5th Floor,To ask,"13,627",90
158,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
159,245 5th Avenue - 2nd Floor,To ask,"14,209",94
160,622 Broadway - 5th Floor,To ask,"17,378",114
161,622 Broadway - 6th Floor,To ask,"17,112",115
162,622 Broadway - 3rd Floor,To ask,"17,384",115
163,622 Broadway - 4th Floor,To ask,"17,479",116
164,287 Park Avenue South - 9th Floor,To ask,"13,056",87
165,287 Park Avenue South - 8th Floor,To ask,"13,056",87
166,33 East 33rd Street - 12th Floor,To ask,"13,000",86
167,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
168,16 West 22nd Street - 8th Floor,45500,"13,000",86
169,33 East 33rd Street - 6th Floor,48851,"13,027",86
170,6 East 32nd Street - 5th Floor,To ask,"16,000",92
171,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
172,10 West 14th Street - 6th Floor,To ask,"13,191",106
173,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
174,6 East 32nd Street - 4th Floor,To ask,"16,000",103
175,71 5th Avenue - 11th Floor,To ask,"15,238",101
176,71 5th Avenue - 10th Floor,To ask,"15,177",101
177,275 7th Avenue - 17th Floor,To ask,"15,183",101
178,841 Broadway - 2nd Floor - Suite 200,To ask,"13,809",92
179,841 Broadway - 3rd Floor,To ask,"13,716",91
180,245 5th Avenue - 6th Floor - Suite 601,To ask,"13,627",90
181,245 5th Avenue - 5th Floor,To ask,"13,627",90
182,245 5th Avenue - 3rd Floor - Suite 300,To ask,"13,627",90
183,245 5th Avenue - 2nd Floor,To ask,"14,209",94
184,622 Broadway - 5th Floor,To ask,"17,378",114
185,622 Broadway - 6th Floor,To ask,"17,112",115
186,622 Broadway - 3rd Floor,To ask,"17,384",115
187,622 Broadway - 4th Floor,To ask,"17,479",116
188,287 Park Avenue South - 9th Floor,To ask,"13,056",87
189,287 Park Avenue South - 8th Floor,To ask,"13,056",87
190,33 East 33rd Street - 12th Floor,To ask,"13,000",86
191,215 Lexington Avenue - 11th Floor,To ask,"13,384",89
192,16 West 22nd Street - 8th Floor,45500,"13,000",86
193,33 East 33rd Street - 6th Floor,48851,"13,027",86
194,6 East 32nd Street - 5th Floor,To ask,"16,000",92
195,155 Avenue of the Americas - 14th Floor,To ask,"13,845",106
196,10 West 14th Street - 6th Floor,To ask,"13,191",106
197,155 Avenue of the Americas - 5th Floor,To ask,"15,466",87
