,name,lat,lon,type,geometry,category,distance(km)
0,John F. Kennedy International Airport (JFK),40.640721,-73.789347,"{'typepoint': {'type': 'Point', 'coordinates': [40.640721, -73.789347]}}",POINT (-73.789347 40.640721),airport,20.5
1,LaGuardia Airport (LGA),40.774546,-73.873296,"{'typepoint': {'type': 'Point', 'coordinates': [40.774546, -73.873296]}}",POINT (-73.873296 40.774546),airport,9.2
2,Newark Liberty International Airport (EWR),40.690377,-74.177145,"{'typepoint': {'type': 'Point', 'coordinates': [40.690377, -74.177145]}}",POINT (-74.177145 40.690377),airport,18.2
3,Starbucks,40.755564,-73.976688,"{'typepoint': {'type': 'Point', 'coordinates': [40.755564, -73.976688]}}",POINT (-73.976688 40.755564),starbucks,0.2
4,Starbucks,40.755354,-73.974452,"{'typepoint': {'type': 'Point', 'coordinates': [40.755354, -73.974452]}}",POINT (-73.974452 40.755354),starbucks,0.4
5,Starbucks,40.754338,-73.987245,"{'typepoint': {'type': 'Point', 'coordinates': [40.754338, -73.987245]}}",POINT (-73.987245 40.754338),starbucks,0.7
6,Starbucks,40.759705,-73.985194,"{'typepoint': {'type': 'Point', 'coordinates': [40.759705, -73.985194]}}",POINT (-73.985194 40.759705),starbucks,0.7
7,Starbucks,40.75672,-73.985819,"{'typepoint': {'type': 'Point', 'coordinates': [40.75672, -73.985819]}}",POINT (-73.985819 40.75672),starbucks,0.6
8,Starbucks,40.757695,-73.979698,"{'typepoint': {'type': 'Point', 'coordinates': [40.757695, -73.979698]}}",POINT (-73.979698 40.757695),starbucks,0.2
9,Starbucks,40.760463,-73.987102,"{'typepoint': {'type': 'Point', 'coordinates': [40.760463, -73.987102]}}",POINT (-73.987102 40.760463),starbucks,0.8
10,Starbucks,40.757013,-73.980982,"{'typepoint': {'type': 'Point', 'coordinates': [40.757013, -73.980982]}}",POINT (-73.980982 40.757013),starbucks,0.2
11,Starbucks,40.759743,-73.973793,"{'typepoint': {'type': 'Point', 'coordinates': [40.759743, -73.973793]}}",POINT (-73.973793 40.759743),starbucks,0.6
12,Starbucks,40.756755,-73.972541,"{'typepoint': {'type': 'Point', 'coordinates': [40.756755, -73.972541]}}",POINT (-73.972541 40.756755),starbucks,0.6
13,Starbucks,40.754301,-73.971484,"{'typepoint': {'type': 'Point', 'coordinates': [40.754301, -73.971484]}}",POINT (-73.971484 40.754301),starbucks,0.7
14,Starbucks,40.749101,-73.983799,"{'typepoint': {'type': 'Point', 'coordinates': [40.749101, -73.983799]}}",POINT (-73.983799 40.749101),starbucks,0.8
15,Starbucks,40.751762,-73.977588,"{'typepoint': {'type': 'Point', 'coordinates': [40.751762, -73.977588]}}",POINT (-73.977588 40.751762),starbucks,0.5
16,Starbucks,40.762911,-73.972344,"{'typepoint': {'type': 'Point', 'coordinates': [40.762911, -73.972344]}}",POINT (-73.972344 40.762911),starbucks,1.0
17,Starbucks,40.758741,-73.978909,"{'typepoint': {'type': 'Point', 'coordinates': [40.758741, -73.978909]}}",POINT (-73.978909 40.758741),starbucks,0.3
18,Starbucks,40.758325,-73.974349,"{'typepoint': {'type': 'Point', 'coordinates': [40.758325, -73.974349]}}",POINT (-73.974349 40.758325),starbucks,0.5
19,Starbucks,40.750863,-73.974932,"{'typepoint': {'type': 'Point', 'coordinates': [40.750863, -73.974932]}}",POINT (-73.974932 40.750863),starbucks,0.7
20,Starbucks,40.75637,-73.990786,"{'typepoint': {'type': 'Point', 'coordinates': [40.75637, -73.990786]}}",POINT (-73.990786 40.75637),starbucks,1.0
21,Starbucks,40.750585,-73.979246,"{'typepoint': {'type': 'Point', 'coordinates': [40.750585, -73.979246]}}",POINT (-73.979246 40.750585),starbucks,0.6
22,Starbucks,40.75744,-73.969116,"{'typepoint': {'type': 'Point', 'coordinates': [40.75744, -73.969116]}}",POINT (-73.969116 40.75744),starbucks,0.9
23,Starbucks,40.757041,-73.975916,"{'typepoint': {'type': 'Point', 'coordinates': [40.757041, -73.975916]}}",POINT (-73.975916 40.757041),starbucks,0.3
24,Starbucks,40.750966,-73.987079,"{'typepoint': {'type': 'Point', 'coordinates': [40.750966, -73.987079]}}",POINT (-73.987079 40.750966),starbucks,0.8
25,Starbucks,40.761794,-73.979771,"{'typepoint': {'type': 'Point', 'coordinates': [40.761794, -73.979771]}}",POINT (-73.979771 40.761794),starbucks,0.7
26,Starbucks,40.760518,-73.987061,"{'typepoint': {'type': 'Point', 'coordinates': [40.760518, -73.987061]}}",POINT (-73.987061 40.760518),starbucks,0.8
