,name,lat,lon,type,geometry,category,distance(km)
0,San Francisco International Airport (SFO),37.624123,-122.395506,"{'typepoint': {'type': 'Point', 'coordinates': [37.624123, -122.395506]}}",POINT (-122.395506 37.624123),airport,18.4
1,Oakland International Airport (OAK),37.7117,-122.212997,"{'typepoint': {'type': 'Point', 'coordinates': [37.7117, -122.212997]}}",POINT (-122.212997 37.7117),airport,17.8
2,Starbucks,37.788371,-122.393555,"{'typepoint': {'type': 'Point', 'coordinates': [37.788371, -122.393555]}}",POINT (-122.393555 37.788371),starbucks,0.4
3,Starbucks,37.793818,-122.396678,"{'typepoint': {'type': 'Point', 'coordinates': [37.793818, -122.396678]}}",POINT (-122.396678 37.793818),starbucks,0.8
4,Starbucks,37.791317,-122.39224,"{'typepoint': {'type': 'Point', 'coordinates': [37.791317, -122.39224]}}",POINT (-122.39224 37.791317),starbucks,0.3
5,Starbucks,37.793025,-122.39978,"{'typepoint': {'type': 'Point', 'coordinates': [37.793025, -122.39978]}}",POINT (-122.39978 37.793025),starbucks,1.0
6,Starbucks,37.791223,-122.392146,"{'typepoint': {'type': 'Point', 'coordinates': [37.791223, -122.392146]}}",POINT (-122.392146 37.791223),starbucks,0.3
7,Starbucks Reserve,37.791487,-122.395101,"{'typepoint': {'type': 'Point', 'coordinates': [37.791487, -122.395101]}}",POINT (-122.395101 37.791487),starbucks,0.5
8,Starbucks,37.789562,-122.39764,"{'typepoint': {'type': 'Point', 'coordinates': [37.789562, -122.39764]}}",POINT (-122.39764 37.789562),starbucks,0.7
9,Starbucks,37.79199,-122.398357,"{'typepoint': {'type': 'Point', 'coordinates': [37.79199, -122.398357]}}",POINT (-122.398357 37.79199),starbucks,0.8
10,Sweetgreen,37.787182,-122.398432,"{'typepoint': {'type': 'Point', 'coordinates': [37.787182, -122.398432]}}",POINT (-122.398432 37.787182),vegan,0.8
11,Sweetgreen,37.789634,-122.391765,"{'typepoint': {'type': 'Point', 'coordinates': [37.789634, -122.391765]}}",POINT (-122.391765 37.789634),vegan,0.2
12,Tender,37.786329,-122.417353,"{'typepoint': {'type': 'Point', 'coordinates': [37.786329, -122.417353]}}",POINT (-122.417353 37.786329),vegan,2.5
13,The Flying Falafel,37.78124,-122.411217,"{'typepoint': {'type': 'Point', 'coordinates': [37.78124, -122.411217]}}",POINT (-122.411217 37.78124),vegan,2.1
14,Enjoy Vegetarian Restaurant,37.795717,-122.405173,"{'typepoint': {'type': 'Point', 'coordinates': [37.795717, -122.405173]}}",POINT (-122.405173 37.795717),vegan,1.5
15,Pena Pachamama,37.799682,-122.410569,"{'typepoint': {'type': 'Point', 'coordinates': [37.799682, -122.410569]}}",POINT (-122.410569 37.799682),vegan,2.1
16,Mixt Greens,37.79451,-122.401732,"{'typepoint': {'type': 'Point', 'coordinates': [37.79451, -122.401732]}}",POINT (-122.401732 37.79451),vegan,1.2
